,iter_num,disc_loss_trn,disc_loss_tst,gen_loss_trn,gen_loss_tst
0,100,5.316286087036133,6.057888984680176,1.4478853940963745,1.4277640581130981
1,200,5.43751335144043,5.2070417404174805,1.6504265069961548,1.5957050323486328
2,300,5.762114524841309,5.800567626953125,1.4270243644714355,1.40883207321167
3,400,5.361486434936523,5.419990539550781,1.5509214401245117,1.5002832412719727
4,500,5.287776947021484,5.188770294189453,1.590499758720398,1.5328373908996582
5,600,5.067170143127441,4.85056209564209,1.7625632286071777,1.7030627727508545
6,700,5.650774002075195,5.408267974853516,1.3947193622589111,1.4306950569152832
7,800,4.8678131103515625,5.295947074890137,1.6564393043518066,1.4915308952331543
8,900,5.0638837814331055,5.254276275634766,1.5687932968139648,1.4962520599365234
9,1000,5.09652853012085,5.022036075592041,1.7247692346572876,1.5511505603790283
10,1100,5.547360420227051,5.091788291931152,1.5648889541625977,1.4111061096191406
11,1200,5.174105644226074,5.112561225891113,1.556923508644104,1.4858448505401611
12,1300,5.114741325378418,4.863578796386719,1.6327698230743408,1.6604405641555786
13,1400,5.4539947509765625,5.35610818862915,1.4478096961975098,1.4476003646850586
14,1500,5.012485504150391,5.3881659507751465,1.5388267040252686,1.6351157426834106
15,1600,5.058050155639648,5.093606948852539,1.5746984481811523,1.5943490266799927
16,1700,5.068723678588867,5.398899078369141,1.6409082412719727,1.684831142425537
17,1800,4.936062812805176,4.981191158294678,1.679965615272522,1.5844967365264893
18,1900,5.797945499420166,5.36140251159668,1.5251238346099854,1.4204564094543457
19,2000,4.953425407409668,5.298844337463379,1.6476333141326904,1.5396292209625244
20,2100,4.941196441650391,5.060210704803467,1.7586562633514404,1.640854001045227
21,2200,5.386199951171875,5.054342746734619,1.6252813339233398,1.5679783821105957
22,2300,5.098337173461914,5.229722023010254,1.6092345714569092,1.5371116399765015
23,2400,5.439943790435791,5.23466682434082,1.701411485671997,1.6423726081848145
24,2500,4.896183967590332,4.658596992492676,1.8295923471450806,1.9203083515167236
25,2600,5.271396636962891,5.229040145874023,1.6343507766723633,1.4752963781356812
26,2700,4.864050388336182,4.897216796875,1.8048689365386963,1.6272950172424316
27,2800,5.068880081176758,5.083406448364258,1.917790174484253,1.624454140663147
28,2900,5.042809009552002,5.004908561706543,1.7787562608718872,1.4911763668060303
29,3000,4.954338550567627,5.3138275146484375,1.5714871883392334,1.3702826499938965
30,3100,5.322011947631836,5.281284332275391,1.7818366289138794,1.5178756713867188
31,3200,5.692854881286621,5.729201316833496,1.3754799365997314,1.3666796684265137
32,3300,5.029178619384766,5.028836250305176,1.6872642040252686,1.5741291046142578
33,3400,5.450181007385254,5.120875835418701,1.767413854598999,1.5529067516326904
34,3500,5.611655235290527,5.577180862426758,1.4164302349090576,1.319974660873413
35,3600,5.595554351806641,5.258772850036621,1.4471352100372314,1.4542949199676514
36,3700,4.63072395324707,4.774103164672852,1.780051350593567,1.651490569114685
37,3800,5.170190811157227,5.264763832092285,1.5629758834838867,1.4438834190368652
38,3900,4.7515716552734375,5.27779483795166,2.2173476219177246,1.681856393814087
39,4000,4.896353244781494,4.848414421081543,1.9790853261947632,1.865591049194336
40,4100,4.83291482925415,4.711370468139648,1.9264646768569946,1.926863193511963
41,4200,5.036958694458008,5.185666084289551,1.9077682495117188,1.7306485176086426
42,4300,4.796881198883057,4.751189231872559,1.9693958759307861,1.7841236591339111
43,4400,5.144912242889404,5.075287818908691,1.6144883632659912,1.5053174495697021
44,4500,5.06309700012207,5.210773468017578,1.7440800666809082,1.616779088973999
45,4600,6.472357749938965,5.334803581237793,1.4678702354431152,1.396761417388916
46,4700,4.76785135269165,5.04770040512085,1.7859911918640137,1.6837573051452637
47,4800,5.1507110595703125,4.791128158569336,2.194883108139038,1.8009693622589111
48,4900,4.751326084136963,4.875248432159424,2.074075222015381,1.6400091648101807
49,5000,4.862090110778809,4.989144802093506,1.9064533710479736,1.7243738174438477
50,5100,5.883942604064941,4.88601016998291,1.5246551036834717,1.4563419818878174
51,5200,5.79477596282959,4.960972785949707,1.664984107017517,1.4689784049987793
52,5300,5.374249458312988,4.659501552581787,1.7202612161636353,1.5556366443634033
53,5400,5.304261207580566,4.748725891113281,1.739720344543457,1.5509305000305176
54,5500,5.268346786499023,4.746331214904785,1.6905475854873657,1.7947193384170532
55,5600,5.329594135284424,5.073812484741211,1.6644636392593384,1.5978760719299316
56,5700,4.946354866027832,4.808103561401367,1.6211118698120117,1.6544711589813232
57,5800,4.773111343383789,4.851809501647949,1.744638442993164,1.6621482372283936
58,5900,5.4708662033081055,5.170699119567871,1.6447136402130127,1.4531359672546387
59,6000,5.608772277832031,4.929162979125977,1.6863534450531006,1.4105390310287476
60,6100,5.948158264160156,4.864173889160156,1.5498356819152832,1.5157800912857056
61,6200,6.2712531089782715,4.654076099395752,1.6368157863616943,1.483365535736084
62,6300,4.85605001449585,4.858275413513184,1.7549651861190796,1.544791340827942
63,6400,4.596312522888184,4.74351167678833,1.7824592590332031,1.6552122831344604
64,6500,4.6990251541137695,4.900652885437012,1.8030717372894287,1.5867334604263306
